Subject,Start Date,End Date,Location,Description
CES 2016,2016/1/6,2016/1/9,アメリカ・ラスベガス,世界最大の家電見本市 http://www.cesweb.org/
第2回ウェアラブル EXPO,2016/1/13,2016/1/15,東京ビッグサイト,世界的に注目が高まる装着型デバイスの総合展示会がスタート http://www.wearable-expo.jp/
闘会議2016,2016/1/30,2016/1/31,幕張メッセ,ニコニコがおくるゲーム大会、実況に特化した新イベント http://tokaigi.jp/
エンジニアサポートCROSS 2016,2016/2/5,2016/2/5,横浜港大さん橋ホール,ウェブエンジニアのための国内最大級の勉強会 http://2016.cross-party.com/
NewYork ToyFair 2016,2016/2/13,2016/2/16,アメリカ・ニューヨーク,ホビーの展示商談会、ウェアラブル機器にも注目 http://www.toyfairny.com/
WebRTC Conference Japan,2016/2/16,2016/2/17,ソラシティ カンファレンスセンター,ウェブのリアルタイムコミュニケーション技術の標準“WebRTC”のカンファレンス http://webrtcconference.jp/
イーコマースEXPO 2016 東京,2016/2/16,2016/2/17,東京ビッグサイト,ネットとモバイル通販とソリューションの専門展示会 http://www.ecommerceexpo-japan.com/
Developers Summit 2016,2016/2/18,2016/2/19,目黒雅叙園,ITエンジニアのための祭典。通称デブサミ、今年は“Hack The Real”がキーワード http://event.shoeisha.jp/devsumi/20160218/
SOCIAL MEDIA WEEK,2016/2/22,2016/2/26,アメリカ・ニューヨークほか,世界各地でソーシャルサービス関連イベントが開催 http://socialmediaweek.org/
MOBILE WORLD CONGRESS 2016,2016/2/22,2016/2/25,スペイン・バルセロナ,通信機器の展示会、最新のフラッグシップスマホも登場 http://www.mobileworldcongress.com/
Challenge Cup Regional Tokyo,2016/2/25,2016/2/25,未定,イノベーションを興し続ける企業を100社生み出す目的で活動し、日本ベンチャー大賞を発表。 http://ji-network.org/
CP+（シーピープラス）2016,2016/2/25,2016/2/28,パシフィコ横浜,カメラ、映像分野の総合展示会 http://www.cpplus.jp/
FRONTEND CONFERENCE 2016,2016/3/5,2016/3/5,大阪　新梅田研修センター,関西最大級のフロントエンドの祭典 http://kfug.jp/frontconf2016/
SXSW 2016,2016/3/11,2016/3/20,アメリカ・テキサス,サウス・バイ・サウス・ウェスト。音楽、映像、ITの祭典、注目ITベンチャーも多数登場 http://www.sxsw.com/
CeBIT 2016,2016/3/14,2016/3/18,ドイツ・ハノーファー,BtoB機器の展示会、スタートアップビジネスへも参入 http://www.cebit.de/
Game Developers Conference2016,2016/3/14,2016/3/18,アメリカ・サンフランシスコ,ゲーム開発者のためのビッグカンファレンス http://www.gdconf.com/
